iter	Logloss
0	0.6832747597
1	0.674445063
2	0.6666607988
3	0.6592905835
4	0.6528515847
5	0.6468969599
6	0.6417003288
7	0.6369886264
8	0.6329114317
9	0.6290909393
10	0.6255111618
11	0.622345698
12	0.6195022003
13	0.6170572345
14	0.6147802422
15	0.6127211966
16	0.6108256024
17	0.6091726413
18	0.6075796871
19	0.6063101654
20	0.60501989
21	0.6039274897
22	0.6029059404
23	0.6019928174
24	0.6010698859
25	0.6002564379
26	0.5996331882
27	0.5990021119
28	0.5983918626
29	0.5978157935
30	0.5973387106
31	0.5968688771
32	0.5964982545
33	0.5961698338
34	0.5958416635
35	0.5955272936
36	0.5952519702
37	0.5949922053
38	0.5947633436
39	0.5946009741
40	0.5943917762
41	0.594193081
42	0.5940378178
43	0.5938611121
44	0.593747132
45	0.5936315879
46	0.5934886269
47	0.5933749322
48	0.5932573161
49	0.5931701127
50	0.5930892657
51	0.5930239565
52	0.5929484892
53	0.5928617596
54	0.5927935786
55	0.592713023
56	0.5926750202
57	0.5926425311
58	0.5925813261
59	0.5925566727
60	0.5925064862
61	0.5924585698
62	0.5923988441
63	0.5923508292
64	0.5923095307
65	0.592298086
66	0.5922503022
67	0.5922105817
68	0.5921650126
69	0.5921438212
70	0.5921185233
71	0.5920841513
72	0.5920354804
73	0.5920010479
74	0.5919621173
75	0.5919060575
76	0.5918736924
77	0.591848154
78	0.591816593
79	0.5917918604
80	0.591751448
81	0.5917098034
82	0.5916870603
83	0.5916815931
84	0.5916475747
85	0.5916269042
86	0.5915693817
87	0.5915501813
88	0.591526079
89	0.5915029234
90	0.5914952691
91	0.5914737904
92	0.5914643861
93	0.5914357356
94	0.5914174483
95	0.5913871068
96	0.5913718739
97	0.5913449757
98	0.5913298503
99	0.591312781
100	0.5912762553
101	0.5912472057
102	0.5912155241
103	0.5911892775
104	0.5911605715
105	0.5911341001
106	0.5911102182
107	0.5910828075
108	0.5910664964
109	0.591021682
110	0.5909982296
111	0.5909783023
112	0.5909574876
113	0.5909406682
114	0.590924938
115	0.5909078683
116	0.5908772641
117	0.5908551154
118	0.5908456564
119	0.5908244256
120	0.5907907331
121	0.5907777879
122	0.5907629899
123	0.5907488957
124	0.5907302777
125	0.5907077562
126	0.5906996092
127	0.5906695213
128	0.5906549371
129	0.5906423039
130	0.5905969936
131	0.5905905798
132	0.5905765422
133	0.5905383704
134	0.5905208673
135	0.5904895258
136	0.5904676809
137	0.5904460102
138	0.5903942362
139	0.5903803035
140	0.5903468111
141	0.5903138107
142	0.590294728
143	0.5902788033
144	0.5902480045
145	0.5902282001
146	0.5901952569
147	0.5901769467
148	0.5901595449
149	0.5901567354
150	0.5901179793
151	0.5901033499
152	0.5900929052
153	0.5900691351
154	0.5900454684
155	0.5900390492
156	0.5900344319
157	0.590016255
158	0.5900038226
159	0.5899643181
160	0.5899437032
161	0.5899257522
162	0.5899244103
163	0.5898899309
164	0.5898702978
165	0.5898520926
166	0.5898518416
167	0.5898214533
168	0.5898100321
169	0.5897900096
170	0.5897611395
171	0.5897386286
172	0.5897134969
173	0.5896899941
174	0.5896716669
175	0.58964362
176	0.5896092651
177	0.5895812534
178	0.58955819
179	0.5895491447
180	0.589538008
181	0.5895182104
182	0.5895063415
183	0.5895056226
184	0.5894656362
185	0.5894504779
186	0.5894356479
187	0.5894203275
188	0.5893962924
189	0.5893777919
190	0.5893594537
191	0.5893315159
192	0.5893043995
193	0.5892802765
194	0.5892664393
195	0.5892344369
196	0.5892194344
197	0.589188909
198	0.5891764944
199	0.5891520668
200	0.5891312496
201	0.5891100305
202	0.5890734814
203	0.5890448541
204	0.5890279587
205	0.589010155
206	0.588993873
207	0.5889695339
208	0.5889397607
209	0.5889122005
210	0.5888902073
211	0.5888719394
212	0.5888591206
213	0.5888468405
214	0.5888271263
215	0.5888113093
216	0.588776708
217	0.5887568623
218	0.588727973
219	0.5887051912
220	0.5886811252
221	0.5886509771
222	0.5886191274
223	0.5885876333
224	0.5885693464
225	0.5885293159
226	0.588503821
227	0.5884797886
228	0.588454089
229	0.5884250185
230	0.5883838925
231	0.5883234213
232	0.5882932028
233	0.5882694921
234	0.5882345883
235	0.588194008
236	0.5881608189
237	0.5881253501
238	0.5880900181
239	0.5880662662
240	0.5880300839
241	0.5879979854
242	0.5879577929
243	0.5879227218
244	0.5878851684
245	0.587852349
246	0.5878246144
247	0.5877960381
248	0.5877684837
249	0.5877278105
250	0.5876884191
251	0.5876624813
252	0.587650433
253	0.5876156694
254	0.5875818144
255	0.5875429674
256	0.5874980762
257	0.5874736309
258	0.5874439218
259	0.587406098
260	0.5873598172
261	0.5873172723
262	0.5872860189
263	0.5872462402
264	0.5872309918
265	0.5872044285
266	0.5871816751
267	0.5871523447
268	0.5871041443
269	0.5870705965
270	0.5870306776
271	0.5870058558
272	0.5869774649
273	0.5869455886
274	0.5869276937
