iter	Passed	Remaining
420	2536	3488
421	2542	3482
422	2548	3476
423	2554	3470
424	2561	3465
425	2567	3459
426	2573	3453
427	2579	3447
428	2585	3441
429	2591	3434
430	2597	3429
431	2603	3423
432	2610	3418
433	2616	3412
434	2623	3407
435	2629	3401
436	2634	3394
437	2641	3388
438	2647	3382
439	2652	3376
440	2659	3370
441	2665	3364
442	2671	3358
443	2677	3352
444	2682	3345
445	2688	3340
446	2694	3333
447	2700	3327
448	2707	3323
449	2713	3316
450	2720	3311
451	2726	3305
452	2732	3299
453	2739	3294
454	2745	3288
455	2751	3282
456	2757	3276
457	2763	3270
458	2769	3264
459	2775	3258
460	2781	3251
461	2787	3245
462	2792	3239
463	2798	3232
464	2805	3227
465	2811	3221
466	2817	3215
467	2824	3210
468	2831	3205
469	2838	3200
470	2844	3194
471	2850	3188
472	2856	3182
473	2862	3176
474	2868	3170
475	2874	3164
476	2880	3158
477	2886	3152
478	2892	3146
479	2899	3140
480	2905	3135
481	2911	3128
482	2917	3122
483	2922	3116
484	2928	3109
485	2934	3103
486	2940	3097
487	2946	3091
488	2952	3085
489	2958	3078
490	2964	3072
491	2969	3066
492	2975	3060
493	2981	3054
494	2988	3048
495	2994	3042
496	3000	3036
497	3006	3030
498	3013	3025
499	3020	3020
500	3026	3014
501	3032	3008
502	3038	3002
503	3044	2996
504	3050	2990
505	3056	2983
506	3062	2978
507	3068	2971
508	3074	2965
509	3080	2959
510	3086	2953
511	3092	2947
512	3098	2941
513	3104	2934
514	3110	2929
515	3116	2923
516	3121	2916
517	3128	2911
518	3136	2907
519	3144	2902
520	3152	2897
521	3159	2892
522	3165	2887
523	3171	2881
524	3177	2874
525	3183	2868
526	3189	2863
527	3195	2856
528	3202	2851
529	3208	2845
530	3214	2839
531	3220	2833
532	3226	2827
533	3232	2821
534	3238	2814
535	3244	2808
536	3250	2802
537	3256	2796
538	3261	2789
539	3267	2783
540	3273	2777
541	3278	2770
542	3285	2764
543	3290	2758
544	3297	2752
545	3303	2746
546	3308	2740
547	3314	2734
548	3321	2728
549	3327	2722
550	3333	2716
551	3339	2710
552	3345	2703
553	3351	2698
554	3357	2691
555	3363	2685
556	3369	2679
557	3374	2673
558	3380	2667
559	3387	2661
560	3393	2655
561	3400	2649
562	3406	2643
563	3412	2637
564	3418	2631
565	3424	2625
566	3431	2620
567	3437	2614
568	3443	2608
569	3449	2602
570	3454	2595
571	3460	2589
572	3466	2583
573	3472	2576
574	3478	2570
575	3483	2564
576	3489	2558
577	3495	2551
578	3501	2545
579	3507	2539
580	3513	2534
581	3519	2527
582	3525	2521
583	3532	2516
584	3538	2509
585	3544	2503
586	3550	2497
587	3555	2491
588	3562	2486
589	3568	2479
590	3574	2473
591	3580	2467
592	3586	2461
593	3592	2455
594	3598	2449
595	3603	2442
596	3610	2437
597	3616	2431
598	3622	2425
599	3629	2419
600	3635	2413
601	3641	2407
602	3647	2401
603	3653	2395
604	3659	2389
605	3665	2382
606	3671	2376
607	3677	2370
608	3682	2364
609	3688	2358
610	3694	2352
611	3700	2346
612	3707	2340
613	3713	2334
614	3719	2328
615	3725	2322
616	3731	2316
617	3737	2310
618	3743	2304
619	3749	2298
620	3755	2292
621	3761	2286
622	3768	2280
623	3774	2274
624	3779	2267
625	3785	2261
626	3791	2255
627	3796	2249
628	3803	2243
629	3809	2237
630	3816	2231
631	3822	2225
632	3828	2219
633	3834	2213
634	3840	2207
635	3846	2201
636	3853	2195
637	3859	2189
638	3865	2183
639	3871	2177
640	3877	2171
641	3883	2165
642	3889	2159
643	3894	2153
644	3901	2147
645	3906	2140
646	3912	2134
647	3918	2128
648	3924	2122
649	3930	2116
650	3937	2110
651	3942	2104
652	3949	2098
653	3955	2092
654	3961	2086
655	3967	2080
656	3973	2074
657	3979	2068
658	3985	2062
659	3991	2056
660	3997	2050
661	4003	2043
662	4008	2037
663	4014	2031
664	4020	2025
665	4026	2019
666	4033	2013
667	4039	2007
668	4045	2001
669	4052	1995
670	4058	1989
671	4064	1983
672	4070	1977
673	4076	1971
674	4082	1965
675	4088	1959
676	4094	1953
677	4100	1947
678	4106	1941
679	4112	1935
680	4117	1928
681	4124	1922
682	4130	1917
683	4135	1910
684	4141	1904
685	4147	1898
686	4153	1892
687	4159	1886
688	4165	1880
689	4171	1873
690	4177	1867
691	4183	1861
692	4189	1856
693	4195	1849
694	4201	1843
695	4207	1837
696	4213	1831
697	4219	1825
698	4225	1819
699	4231	1813
700	4236	1807
701	4243	1801
702	4248	1794
703	4254	1788
704	4261	1783
705	4267	1777
706	4274	1771
707	4280	1765
708	4285	1759
709	4292	1753
710	4297	1746
711	4303	1740
712	4309	1734
713	4314	1728
714	4321	1722
715	4326	1716
716	4332	1710
717	4339	1704
718	4344	1698
719	4350	1691
720	4356	1685
721	4362	1679
722	4368	1673
723	4374	1667
724	4380	1661
725	4386	1655
726	4392	1649
727	4397	1643
728	4403	1637
729	4409	1630
730	4415	1624
731	4421	1618
732	4427	1612
733	4433	1606
734	4439	1600
735	4445	1594
736	4453	1589
737	4459	1583
738	4465	1577
739	4472	1571
740	4479	1565
741	4486	1559
742	4493	1554
743	4500	1548
744	4506	1542
745	4513	1536
746	4520	1531
747	4527	1525
748	4533	1519
749	4540	1513
750	4547	1507
751	4554	1501
752	4560	1496
753	4567	1490
754	4574	1484
755	4581	1478
756	4588	1472
757	4595	1467
758	4602	1461
759	4608	1455
760	4615	1449
761	4622	1443
762	4628	1437
763	4635	1431
764	4642	1426
765	4648	1420
766	4655	1414
767	4662	1408
768	4668	1402
769	4677	1397
770	4684	1391
771	4691	1385
772	4698	1379
773	4705	1374
774	4712	1368
775	4718	1362
776	4725	1356
777	4731	1350
778	4738	1344
779	4744	1338
780	4750	1332
781	4757	1326
782	4764	1320
783	4771	1314
784	4779	1308
785	4787	1303
786	4795	1297
787	4802	1292
788	4809	1286
789	4816	1280
790	4823	1274
791	4830	1268
792	4838	1262
793	4845	1257
794	4852	1251
795	4858	1245
796	4864	1238
797	4871	1233
798	4877	1227
799	4884	1221
800	4892	1215
801	4900	1209
802	4907	1203
803	4914	1198
804	4921	1192
805	4927	1186
806	4935	1180
807	4942	1174
808	4949	1168
809	4956	1162
810	4963	1156
811	4970	1150
812	4976	1144
813	4983	1138
814	4990	1132
815	4997	1126
816	5003	1120
817	5009	1114
818	5017	1108
819	5022	1102
820	5029	1096
821	5036	1090
822	5042	1084
823	5050	1078
824	5056	1072
825	5063	1066
826	5069	1060
827	5074	1054
828	5081	1048
829	5088	1042
830	5094	1036
831	5100	1029
832	5107	1023
833	5113	1017
834	5119	1011
835	5125	1005
836	5131	999
837	5137	993
838	5144	987
839	5149	980
840	5155	974
841	5162	968
842	5168	962
843	5173	956
844	5180	950
845	5186	944
846	5192	937
847	5199	931
848	5204	925
849	5210	919
850	5216	913
851	5222	907
852	5229	901
853	5234	894
854	5240	888
855	5245	882
856	5251	876
857	5257	870
858	5263	863
859	5268	857
860	5275	851
861	5281	845
862	5286	839
863	5293	833
864	5299	827
865	5305	820
866	5312	814
867	5318	808
868	5325	802
869	5331	796
870	5337	790
871	5342	784
872	5348	778
873	5354	771
874	5360	765
875	5368	759
876	5374	753
877	5380	747
878	5386	741
879	5392	735
880	5398	729
881	5404	723
882	5410	716
883	5416	710
884	5422	704
885	5428	698
886	5434	692
887	5441	686
888	5446	680
889	5452	673
890	5458	667
891	5464	661
892	5470	655
893	5476	649
894	5482	643
895	5489	637
896	5495	631
897	5502	624
898	5509	618
899	5516	612
900	5522	606
901	5528	600
902	5534	594
903	5540	588
904	5546	582
905	5552	576
906	5558	569
907	5564	563
908	5570	557
909	5576	551
910	5582	545
911	5588	539
912	5594	533
913	5600	527
914	5606	520
915	5612	514
916	5618	508
917	5624	502
918	5630	496
919	5635	490
920	5641	483
921	5647	477
922	5654	471
923	5661	465
924	5667	459
925	5673	453
926	5680	447
927	5685	441
928	5692	435
929	5699	428
930	5705	422
931	5711	416
932	5718	410
933	5725	404
934	5731	398
935	5737	392
936	5743	386
937	5749	380
938	5754	373
939	5761	367
940	5767	361
941	5774	355
942	5780	349
943	5786	343
944	5794	337
945	5802	331
946	5808	325
947	5814	318
948	5820	312
949	5825	306
950	5831	300
951	5837	294
952	5843	288
953	5849	282
954	5855	275
955	5861	269
956	5867	263
957	5872	257
958	5878	251
959	5884	245
960	5890	239
961	5896	232
962	5902	226
963	5911	220
964	5920	214
965	5927	208
966	5935	202
967	5942	196
968	5948	190
969	5954	184
970	5959	177
971	5965	171
972	5971	165
973	5977	159
974	5985	153
975	5990	147
976	5997	141
977	6003	135
978	6009	128
979	6015	122
980	6021	116
981	6027	110
982	6033	104
983	6039	98
984	6045	92
985	6051	85
986	6057	79
987	6063	73
988	6069	67
989	6074	61
990	6081	55
991	6086	49
992	6093	42
993	6101	36
994	6106	30
995	6113	24
996	6118	18
997	6124	12
998	6131	6
999	6137	0
