iter	MultiClass
0	1.412035945
1	1.28646545
2	1.192319162
3	1.119747429
4	1.06258117
5	1.019877169
6	0.9804410498
7	0.9488934776
8	0.9197444216
9	0.8955288124
10	0.8748272487
11	0.8570994974
12	0.8425712348
13	0.8281051829
14	0.8164634363
15	0.8062938071
16	0.7985518432
17	0.7894389007
18	0.7811724943
19	0.7744336391
20	0.7687050779
21	0.7639858997
22	0.7597481851
23	0.7562851777
24	0.7530023315
25	0.7484483702
26	0.7441909318
27	0.7412956019
28	0.7383024884
29	0.7360403634
30	0.73374695
31	0.7322693222
32	0.7308544074
33	0.7279612602
34	0.7265215109
35	0.7240069608
36	0.7224594651
37	0.721307665
38	0.7199729117
39	0.7189411143
40	0.7179781615
41	0.716352705
42	0.7148021057
43	0.7145046804
44	0.712795986
45	0.7113716386
46	0.7106191209
47	0.7092658412
48	0.7083886629
49	0.7074452586
50	0.7065838368
51	0.7046027181
52	0.7035051307
53	0.7024948445
54	0.7009099041
55	0.7001390485
56	0.6997884473
57	0.6981024013
58	0.6974711248
59	0.6966212523
60	0.6961467571
61	0.6961053415
62	0.6949917774
63	0.6944343579
64	0.6935134013
65	0.6928585324
66	0.6923816241
67	0.6919375131
68	0.6912021993
69	0.6902107068
70	0.6894499168
71	0.6884388374
72	0.6877393767
73	0.6872935245
74	0.6868052999
75	0.6857686808
76	0.684943596
77	0.6839913185
78	0.6834259694
79	0.682907182
80	0.6823805275
81	0.6814421887
82	0.6798451505
83	0.6790392604
84	0.6784663848
85	0.6776147739
86	0.6761822743
87	0.6754241686
88	0.6753919353
89	0.674896442
90	0.6742732621
91	0.6737670289
92	0.6735212985
93	0.6731909816
94	0.6719181841
95	0.6710145626
96	0.670346725
97	0.6689359579
98	0.6678003424
99	0.667135177
100	0.6666401603
101	0.6658498197
102	0.6654130079
103	0.6649622352
104	0.6640712069
105	0.6631153783
106	0.6613450678
107	0.6606307179
108	0.6597775141
109	0.6588452484
110	0.658216429
111	0.6566897229
112	0.656034132
113	0.6556338184
114	0.6545985849
115	0.6541283594
116	0.6534658116
117	0.6528642065
118	0.6525307971
119	0.6518416225
120	0.6511000979
121	0.6506658823
122	0.649956499
123	0.6485466042
124	0.6477262325
125	0.6470821988
126	0.6464233938
127	0.6458029637
128	0.6447560242
129	0.6441556635
130	0.6434355585
131	0.6429851386
132	0.6425869489
133	0.6418613413
134	0.6413906188
135	0.6411233463
136	0.6407060446
137	0.6404651044
138	0.6401805508
139	0.6395632768
140	0.6390791453
141	0.6384997235
142	0.6381234108
143	0.6378147434
144	0.6372274973
145	0.6355653126
146	0.6352703168
147	0.6346359544
148	0.6343832566
149	0.6340809219
150	0.6328434388
151	0.6325761876
152	0.632088881
153	0.6318668958
154	0.631576251
155	0.631272391
156	0.6308898036
157	0.6303962776
158	0.6301354279
159	0.6299223455
160	0.6295289999
161	0.6284914948
162	0.6279817635
163	0.6276982287
164	0.627413009
165	0.6271869114
166	0.6267059223
167	0.6255549564
168	0.624626956
169	0.6239297852
170	0.6228278795
171	0.622451711
172	0.6213625633
173	0.6203870106
174	0.6191537224
175	0.6188486685
176	0.6179631505
177	0.6175434992
178	0.6170067638
179	0.616583111
180	0.6163305745
181	0.6160835838
182	0.6157382973
183	0.6153016046
184	0.6150652904
185	0.6141290244
186	0.6138730009
187	0.6135422854
188	0.6134209831
189	0.6127525419
190	0.6119859023
191	0.6116516148
192	0.6113349462
193	0.6111126877
194	0.6106848614
195	0.6096757043
196	0.6090993712
197	0.608345169
198	0.6079607839
199	0.6076794326
200	0.6070510245
201	0.6066200998
202	0.6064022319
203	0.6055464342
204	0.604648928
205	0.6042055704
206	0.6037415696
207	0.6036144389
208	0.6034539409
209	0.6029851565
210	0.6028444525
211	0.6023233585
212	0.6019745342
213	0.6010189711
214	0.6006273889
215	0.600205978
216	0.5999567763
217	0.5997837251
218	0.5986900167
219	0.5982096791
220	0.5976603217
221	0.5973679143
222	0.5965464476
223	0.5964355643
224	0.595937023
225	0.5951953799
226	0.5946240561
227	0.5944709616
228	0.5941220165
229	0.5938405736
230	0.5934248483
231	0.5932053713
232	0.5930914716
233	0.5925773631
234	0.5920888354
235	0.5917420854
236	0.5913764268
237	0.5910858999
238	0.5906619041
239	0.5901923838
240	0.589906615
241	0.5895688699
242	0.5894334207
243	0.5891722315
244	0.5891125465
245	0.588781732
246	0.5882140285
247	0.587697525
248	0.5873716108
249	0.5870888134
250	0.5862683258
251	0.5858123905
252	0.5855037437
253	0.5849299033
254	0.5842300395
255	0.5838424371
256	0.583571922
257	0.582916544
258	0.5825081673
259	0.5819939073
260	0.5815936824
261	0.5813523713
262	0.58128308
263	0.5810672046
264	0.5808654315
265	0.5806622608
266	0.5800909604
267	0.5798419628
268	0.5795981487
269	0.5792418509
270	0.5788214776
271	0.5785093791
272	0.5783495532
273	0.5778718511
274	0.5776020439
275	0.5768856295
276	0.5766206931
277	0.5763814585
278	0.5761785261
279	0.5761006437
280	0.5757688469
281	0.5752845511
282	0.5749050106
283	0.5746000223
284	0.574450125
285	0.5742341315
286	0.5738865985
287	0.5736492317
288	0.573514048
289	0.5733793936
290	0.573189407
291	0.5728398791
292	0.5722001968
293	0.5719619499
294	0.5715437392
295	0.5711876251
296	0.5710362667
297	0.5708120159
298	0.5705671836
299	0.5702095983
300	0.5696868574
301	0.569383937
302	0.5689278969
303	0.5686401488
304	0.5683405145
305	0.5675714754
306	0.5673565572
307	0.5669176568
308	0.5666666898
309	0.5664713183
310	0.5660209908
311	0.565716332
312	0.5653824192
313	0.5652997844
314	0.5650744418
315	0.5647441735
316	0.5645603244
317	0.564481457
318	0.5639942213
319	0.5637096924
320	0.5635080945
321	0.5633432698
322	0.5630442214
323	0.5628003594
324	0.562339879
325	0.5620749535
326	0.5618362896
327	0.5617617809
328	0.5614537579
329	0.5608282881
330	0.5607565312
331	0.5604892154
332	0.560090677
333	0.5599391343
334	0.5595185323
335	0.5592400151
336	0.5591798853
337	0.55902332
338	0.5586852238
339	0.5584402727
340	0.5582139302
341	0.558140008
342	0.5580629644
343	0.5579520068
344	0.5578160568
345	0.5577148421
346	0.5573820483
347	0.5572442498
348	0.5569826518
349	0.5566588805
350	0.5563837582
351	0.5559730371
352	0.5558438171
353	0.5557574792
354	0.5555566971
355	0.5554137953
356	0.5552767437
357	0.5549175331
358	0.5547640271
359	0.5542551424
360	0.5539680425
361	0.5538479635
362	0.5537711272
363	0.5534132247
364	0.5530819012
365	0.5530109936
366	0.5528269182
367	0.5526909462
368	0.5526154141
369	0.5525034795
370	0.5522154367
371	0.5519675138
372	0.5517242618
373	0.5515990171
374	0.5513456797
375	0.5512342295
376	0.5508440373
377	0.5507933776
378	0.550656353
379	0.5503618513
380	0.5500510917
381	0.549935193
382	0.5496753008
383	0.5491524832
384	0.5487175354
385	0.5484706885
386	0.5481200945
387	0.5478542584
388	0.547792095
389	0.5472998027
390	0.547019392
391	0.5467448858
392	0.5465038356
393	0.5464132831
394	0.546234348
395	0.5458796248
396	0.5457300419
397	0.5454620544
398	0.5452351861
399	0.5450089943
400	0.5449148184
401	0.5444871433
402	0.5443462714
403	0.5441560783
404	0.5439846412
405	0.5438801048
406	0.5437379612
407	0.5435417693
408	0.5433362546
409	0.5430404253
410	0.5429077957
411	0.5426329863
412	0.5423707493
413	0.5421081297
414	0.5419590536
415	0.5419186766
416	0.5414903393
417	0.5410848704
418	0.5409868949
419	0.5409151959
420	0.5404913907
421	0.5402246035
422	0.5400201552
423	0.5398993756
424	0.5396130859
425	0.5392121392
426	0.5390888888
427	0.5389653001
428	0.538803312
429	0.5385139221
430	0.5383465568
431	0.5381257102
432	0.5379404767
433	0.5377716044
434	0.5376551796
435	0.5374109559
436	0.5372042176
437	0.536901734
438	0.5365252713
439	0.5363299468
440	0.5361464448
441	0.5360180538
442	0.5358990163
443	0.5357283867
444	0.5354551322
445	0.5351227834
446	0.5348569253
447	0.5345382194
448	0.534370383
449	0.5342359463
450	0.5340336649
451	0.5338301951
452	0.5337175631
453	0.5335181963
454	0.5332632132
455	0.5331028064
456	0.5329704913
457	0.532914488
458	0.5328004842
459	0.5326960105
460	0.5326349923
461	0.5324877695
462	0.5323969777
