iter	Passed	Remaining
400	24734	36946
401	24797	36887
402	24856	36821
403	24926	36773
404	24980	36699
405	25037	36630
406	25103	36575
407	25167	36517
408	25225	36450
409	25290	36394
410	25349	36328
411	25407	36261
412	25469	36199
413	25514	36114
414	25572	36047
415	25624	35972
416	25686	35912
417	25746	35848
418	25803	35780
419	25860	35712
420	25918	35644
421	25979	35583
422	26034	35512
423	26097	35452
424	26150	35380
425	26211	35317
426	26271	35254
427	26323	35180
428	26381	35114
429	26450	35062
430	26509	34997
431	26565	34929
432	26622	34861
433	26678	34792
434	26737	34728
435	26800	34667
436	26861	34607
437	26917	34537
438	26977	34475
439	27045	34421
440	27103	34355
441	27159	34287
442	27215	34218
443	27276	34157
444	27337	34095
445	27397	34031
446	27460	33971
447	27525	33915
448	27575	33839
449	27635	33776
450	27698	33716
451	27763	33660
452	27824	33598
453	27884	33534
454	27934	33460
455	27997	33400
456	28049	33327
457	28114	33271
458	28177	33211
459	28235	33146
460	28295	33082
461	28359	33024
462	28413	32955
463	28484	32904
464	28548	32846
465	28605	32780
466	28663	32714
467	28730	32659
468	28783	32588
469	28844	32526
470	28911	32471
471	28973	32411
472	29030	32344
473	29086	32277
474	29150	32219
475	29213	32159
476	29266	32089
477	29322	32022
478	29386	31963
479	29445	31898
480	29503	31833
481	29551	31758
482	29611	31696
483	29662	31623
484	29718	31557
485	29776	31491
486	29839	31432
487	29901	31372
488	29964	31312
489	30020	31246
490	30070	31172
491	30125	31104
492	30177	31034
493	30231	30965
494	30288	30900
495	30354	30843
496	30415	30783
497	30463	30708
498	30525	30647
499	30587	30587
500	30635	30513
501	30691	30447
502	30753	30387
503	30809	30320
504	30878	30267
505	30955	30220
506	31019	30163
507	31068	30089
508	31127	30026
509	31186	29963
510	31250	29905
511	31307	29839
512	31368	29778
513	31432	29719
514	31511	29676
515	31575	29617
516	31624	29545
517	31680	29478
518	31740	29416
519	31804	29357
520	31865	29296
521	31922	29231
522	31981	29168
523	32045	29110
524	32109	29051
525	32169	28988
526	32228	28925
527	32278	28854
528	32335	28790
529	32389	28722
530	32444	28656
531	32512	28601
532	32573	28540
533	32634	28479
534	32693	28416
535	32754	28354
536	32817	28295
537	32871	28227
538	32919	28155
539	32983	28096
540	33046	28037
541	33100	27970
542	33159	27907
543	33218	27844
544	33277	27782
545	33337	27720
546	33395	27656
547	33457	27596
548	33521	27537
549	33577	27472
550	33640	27413
551	33703	27353
552	33765	27293
553	33828	27233
554	33887	27170
555	33945	27107
556	34010	27049
557	34067	26985
558	34129	26924
559	34184	26858
560	34247	26800
561	34298	26730
562	34364	26673
563	34429	26615
564	34485	26550
565	34541	26486
566	34604	26426
567	34665	26365
568	34713	26294
569	34754	26217
570	34813	26155
571	34865	26088
572	34921	26023
573	34979	25960
574	35035	25895
575	35092	25832
576	35156	25773
577	35217	25712
578	35265	25642
579	35325	25580
580	35385	25519
581	35443	25456
582	35504	25395
583	35556	25327
584	35619	25268
585	35681	25208
586	35741	25147
587	35801	25085
588	35860	25023
589	35925	24965
590	35987	24904
591	36040	24839
592	36104	24780
593	36166	24719
594	36222	24655
595	36278	24591
596	36342	24532
597	36391	24463
598	36451	24402
599	36506	24337
600	36559	24271
601	36626	24215
602	36682	24150
603	36746	24091
604	36809	24032
605	36863	23967
606	36922	23905
607	36975	23839
608	37020	23768
609	37082	23708
610	37140	23645
611	37196	23582
612	37254	23519
613	37324	23464
614	37384	23403
615	37446	23343
616	37512	23285
617	37573	23224
618	37627	23160
619	37692	23101
620	37754	23041
621	37812	22979
622	37876	22920
623	37928	22854
624	37986	22792
625	38043	22729
626	38104	22668
627	38159	22604
628	38216	22541
629	38278	22480
630	38329	22414
631	38388	22353
632	38452	22294
633	38515	22234
634	38578	22174
635	38644	22117
636	38705	22056
637	38771	21998
638	38831	21937
639	38894	21878
640	38953	21816
641	39007	21751
642	39071	21692
643	39126	21628
644	39184	21566
645	39240	21503
646	39305	21445
647	39373	21388
648	39434	21327
649	39490	21264
650	39547	21201
651	39612	21142
652	39668	21079
653	39731	21020
654	39793	20959
655	39855	20899
656	39906	20834
657	39969	20774
658	40034	20715
659	40101	20658
660	40157	20595
661	40213	20532
662	40271	20470
663	40334	20410
664	40390	20346
665	40448	20285
666	40510	20224
667	40568	20163
668	40631	20102
669	40692	20042
670	40759	19984
671	40816	19922
672	40873	19860
673	40931	19797
674	40992	19737
675	41048	19673
676	41107	19612
677	41159	19547
678	41224	19489
679	41287	19429
680	41348	19368
681	41405	19306
682	41464	19244
683	41528	19185
684	41584	19122
685	41632	19056
686	41689	18993
687	41752	18934
688	41812	18873
689	41872	18812
690	41931	18751
691	41978	18684
692	42031	18620
693	42091	18559
694	42151	18498
695	42212	18437
696	42263	18372
697	42318	18309
698	42369	18244
699	42429	18184
700	42487	18122
701	42551	18062
702	42609	18001
703	42668	17940
